web_scraper_order;web_scraper_start_url;jaar_link;zak_link;zak_id;code;aantal_producten;verzonden;datum_verzonden;ontvangen;datum_ontvangen;weerhouden;notities;schenking;afkorting;KlantId
1764117759-332;https://www.ottersenflamingos.be/admin/verzendzakken;https://www.ottersenflamingos.be/admin/verzendzakken.php?year=2025;https://www.ottersenflamingos.be/admin/verzendzakken.edit.php?id=2765;2765;20250018;0.0;nee;0000-00-00;nee;2025-11-04;0.0;"Slijtage: Short CKS 14 jaar, T-shirt Simple Kids grijs";Goed doel;KDA;118
1764116997-1;https://www.ottersenflamingos.be/admin/verzendzakken;https://www.ottersenflamingos.be/admin/verzendzakken.php?year=2021;https://www.ottersenflamingos.be/admin/verzendzakken.edit.php?id=2083;2083;20210241;0.0;ja;0000-00-00;ja;2021-08-06;0.0;CONDOR BROEKKOUSENKOUSEN WINTER 21/22;Goed doel;;245
1764117000-2;https://www.ottersenflamingos.be/admin/verzendzakken;https://www.ottersenflamingos.be/admin/verzendzakken.php?year=2021;https://www.ottersenflamingos.be/admin/verzendzakken.edit.php?id=2180;2180;20210337;0.0;ja;0000-00-00;ja;2021-10-28;0.0;;Goed doel;;724
